Food_ID,Food Name and Description,Scientific Name,Alternate/Common Name(s),Edible Portion,Energy (kcal),Protein (g),Fat (g),Carbs (g)
R096,"Waldorf salad, prep, w/ yacon",N/A,"Yacon, waldorf salad",100%,177,1.8,11.8,16.0
R097,"Anchovy fry omelet, prep, w/ MLP",N/A,Dulong omelet w/ MLP,100%,186,13.1,12.8,4.5
R098,"Red snapper fritata, prep, w/ MLP",N/A,Maya-maya torta w/ MLP,100%,260,15.3,19.5,5.7
R099,"Chopsuey, prep, w/ yacon",N/A,Yacon chopsuey,100%,70,2.7,2.8,8.5
R100,"Wonton soup, prep, w/ MLP",N/A,"Pancit molo, w/ MLP",100%,93,5.0,5.3,6.3
R101,"Pork wonton, prep, w/ MLP",N/A,Siomai w/ MLP,100%,217,13.3,10.2,18.0
R102,"Scrambled egg, prep, w/ MLP",N/A,N/A,100%,207,10.0,16.5,4.6
R103,"Shanghai pork roll, prep, w/ yacon",N/A,Yacon lumpiang shanghai,100%,285,10.3,15.5,26.0
R104,"Fried rice mix, w/ yacon",N/A,Yacon-rice medley,100%,140,3.0,4.0,23.1
R105,"Vegetable stir-fry w/ quail eggs, prep, w/ yacon",N/A,Yacon w/ quail eggs,100%,105,4.2,6.0,8.6
R106,"Vegetable soup, prep, w/ yacon",N/A,Yacon-veggie summer vegetable soup,100%,34,1.6,0.8,5.1
R107,"Vegetable spring roll, fresh, w/ yacon",N/A,Yacon lumpiang sariwa,100%,147,3.8,4.2,23.6
R108,"Pork ball, wrapped",N/A,Pork wonton/Pork siomai,100%,298,10.5,16.7,26.4
S001,"Beef w/ veg, str",N/A,N/A,100%,48,3.8,0.3,7.5
S002,"Beef, egg noodle, veg, str",N/A,N/A,100%,41,2.8,0.1,7.3
S003,"Carrot, str",N/A,N/A,100%,23,0.6,0.1,4.8
S004,"Cereals, applesce & banana, str",N/A,N/A,100%,84,1.0,0.8,18.2
S005,"Chicken noodle, str",N/A,N/A,100%,50,2.6,0.4,8.9
S006,"Chicken w/ veg, str",N/A,N/A,100%,111,8.8,5.4,6.9
S007,"Chicken, asparagus, str",N/A,N/A,100%,39,7.9,0.8,0.0
S008,"Cream chicken soup, str",N/A,N/A,100%,48,1.8,0.5,9.0
S009,"Custard pudding, choco, str",N/A,N/A,100%,87,1.4,0.8,18.6
S010,"Custard pudding, vanilla, str",N/A,N/A,100%,94,1.3,1.1,19.7
S011,"Fruit w/ tapioca, str",N/A,N/A,100%,91,0.2,1.0,20.4
S013,"Mango & papaya, str",N/A,N/A,100%,91,0.2,0.3,21.8
S014,"Mango, str",N/A,N/A,100%,87,0.2,1.2,18.8
S015,"Mixed fruits, str",N/A,N/A,100%,90,0.2,0.9,20.3
S016,"Mixed veg, str",N/A,N/A,100%,42,1.4,0.2,8.7
S017,"Peach, str",N/A,N/A,100%,112,0.6,0.3,26.6
S018,"Rice w/ chicken, str",N/A,N/A,100%,46,1.6,0.6,8.6
S019,"Squash, str",N/A,N/A,100%,33,0.4,0.1,7.5
S021,"Veg, liver & bacon, str",N/A,N/A,100%,47,2.1,0.9,7.6
T001,Azolla pinnata,N/A,N/A,100%,18,1.4,0.4,2.1
T002,Baking powder,N/A,N/A,100%,166,0.2,0.3,40.7
T004,Ceylon moss/Agar-agar bar,N/A,Gulaman,100%,311,2.6,0.3,74.5
T005,"Coffee creamer, non-dairy",N/A,N/A,100%,390,4.1,0.7,91.9
T006,Chlorella,Chlorella pyrenoidosa,N/A,100%,351,53.3,4.9,23.4
T007,Gelatin powder,N/A,N/A,100%,351,85.4,1.0,0.0
T008,Rice washing,N/A,Hugas-bigas,100%,6,0.1,0.2,1.0
T009,"Yeast, baker's, active, dry",N/A,"Lebadura, baker's, tuyo",100%,363,37.2,1.3,50.5
M015,"Coconut meat, grated, sweetn",N/A,Bukayo,100%,399,2.2,2.1,92.8
D304,Ginger,Zingiber officinale,Luya,74%,46,1.1,0.8,8.5
D305,Turmeric,Curcuma longa L.,Luyang dilaw,71%,71,2.0,2.7,9.6
H023,"Egg mass, sea hare",Dolabella auricularia,Lukot,100%,17,2.4,0.2,1.3
Q062,"Tea, prep w/ water, no sugar",N/A,N/A,100%,1,0.1,0.0,0.2
T012,Locust,Locusta migratoria manilensis,Balang,81%,147,13.7,4.3,13.4
