Food_ID,Food Name and Description,Scientific Name,Alternate/Common Name(s),Edible Portion,Energy (kcal),Protein (g),Fat (g),Carbs (g)
M003,"Candy bar, pili nut",N/A,Matamis na pili/Mazapan de pili,100%,537,5.7,30.1,60.7
M004,"Candy, custard",N/A,Yema,100%,381,4.1,1.6,87.6
M005,"Candy, hard",N/A,N/A,100%,401,0.1,1.8,96.0
M006,"Candy, milk choc",N/A,N/A,100%,518,9.8,26.4,60.2
M007,"Candy, pili nut",N/A,N/A,100%,639,7.5,52.7,33.6
M008,"Candy, pulled",N/A,Tira-tira,100%,386,0.6,0.2,95.4
M009,"Candy, toffee",N/A,N/A,100%,367,2.2,0.3,88.8
M010,"Carageenan gel, assorted fruit-flvr",N/A,"Gulaman, may lasang prutas",100%,121,0.0,1.2,27.5
M011,Caramelo,N/A,N/A,100%,398,0.0,0.0,99.5
M012,Champoy,N/A,N/A,90%,390,0.3,0.8,95.5
M013,"Chocolate, tablea",N/A,N/A,100%,481,4.3,18.2,75.1
M014,Coco jam,N/A,Matamis na bao,100%,377,1.0,1.8,89.2
M016,Creme custard,N/A,Leche flan,100%,228,5.9,4.3,41.4
M017,"Fudge, durian",N/A,"Pastilyas, durian",100%,358,13.5,0.2,75.5
M018,"Fudge, jackfruit",N/A,"Pastilyas, langka",100%,358,8.9,0.3,79.9
M019,"Fudge, milk",N/A,"Pastilyas, gatas",100%,370,9.9,1.4,79.5
M020,"Fudge, yam",N/A,"Pastilyas, ube",100%,349,8.0,1.5,75.9
M021,Honey,N/A,Pulot-pukyutan,100%,258,0.1,0.1,64.1
M022,Ice candy,N/A,N/A,100%,66,0.0,0.0,16.5
M023,Ice drop,N/A,N/A,100%,82,0.6,0.2,19.5
M024,"Jam, jackfruit & pineapple, cnd",N/A,N/A,100%,198,0.7,0.1,48.6
M025,"Jam, mango, cnd",N/A,N/A,100%,287,0.9,0.2,70.5
M026,"Jam, pineapple",N/A,N/A,100%,298,0.2,1.1,71.7
M027,"Jam, yam",N/A,"Halaya, ubi",100%,296,7.1,0.4,66.1
M028,"Jelly, guava",N/A,N/A,100%,345,0.0,0.8,84.5
M030,"Jelly, pineapple",N/A,N/A,100%,310,0.1,0.7,75.9
M031,"Jelly, strawberry",N/A,N/A,100%,255,0.1,1.0,61.4
M032,Masareal,N/A,Mazareal,100%,484,13.9,21.2,59.4
M033,Marshmallow,N/A,N/A,100%,317,3.0,0.3,75.6
M034,"Milk choc bar, orange crunch",N/A,N/A,100%,535,2.7,28.7,66.5
M035,"Nata de coco, sweetn",N/A,N/A,100%,146,0.0,0.2,36.1
M036,"Nata de piña, sweetn",N/A,N/A,100%,181,0.1,0.2,44.6
M037,Peanut brittle,N/A,N/A,100%,493,15.0,24.2,53.9
M038,Peanut brittle w/ sesame seed,N/A,N/A,100%,522,14.0,27.6,54.4
M039,"Peanut, milk choc-coated",N/A,"Mani, binalot sa tsokolate gatas",100%,506,13.8,25.2,56.0
M040,Polvoron,N/A,N/A,100%,469,6.8,16.4,73.6
M041,"Popsicle, choc flvr",N/A,N/A,100%,83,0.8,0.5,18.8
M042,"Sugar, brown",N/A,"Asukal, pula",100%,398,0.1,0.3,98.7
M043,"Sugar, crude, pakaskas",N/A,Pakaskas,100%,346,2.2,0.2,83.9
M044,"Sugar, crude, panocha",N/A,Panocha,100%,376,0.2,0.4,92.8
M045,"Sugar, pwdr",N/A,"Asukal, pulbos/Confectioner's sugar",100%,400,0.0,0.0,100.0
M046,"Sugar, white, refined",N/A,"Asukal, puti, refinado",100%,400,0.0,0.0,99.9
M047,Syrup,N/A,Arnibal,100%,308,0.0,0.1,76.8
M048,"Syrup, molasses, cane",N/A,Pulot,100%,260,1.8,0.4,62.4
M049,"Tamarind, candied",N/A,"Sampalok, candied",93%,335,0.4,0.7,81.7
M050,"Wax gourd, candied",N/A,"Kundol, candied",100%,327,0.2,0.1,81.2
